ბიოლოგია (BIO306001) (262),6,1
ბიზნესი მოქმედებაში I (BUS102906) (279),2,1
ლიდერობა და მოტივირება (COM401004) (309),1,1
თეორიული ინფორმატიკა (CS206006) (327),6,1
პროგრამული უზრუნველყოფის ინჟინერია (CS206007) (328),6,1
კომპიუტერულ მეცნიერებათა სწავლება II (CS206902) (344),6,1
მაკროეკონომიკა (ECO204003) (347),4,1
ახლო აღმოსავლეთის ქვენების ეკონომიკა (ECO306017) (354),6,1
შორეული აღმოსავლეთის ქვეყნების ეკონომიკა (ECO306018) (355),6,1
ეკონომიკის საფუძვლები (ECO104015) (496),4,1
არაბული ენა II (FLS107137) (554),7,2
არაბული ენა IV (FLS207139) (556),7,2
არაბული ენა VI (FLS307141) (558),7,2
არაბული ენა VIII (FLS407143) (560),7,2
თურქული ენა II (FLS107145) (562),7,2
თურქული ენა IV (FLS207147) (564),7,2
თურქული ენა VI (FLS307149) (566),7,2
თურქული ენა VIII (FLS407151) (568),7,2
სპარსული ენა II (FLS107153) (570),7,2
სპარსული ენა IV (FLS207155) (572),7,2
სპარსული ენა VI (FLS307157) (574),7,3
სპარსული ენა VIII (FLS407159) (576),7,3
იაპონური ენა II (FLS107161) (578),7,3
იაპონური ენა IV (FLS207163) (580),7,3
იაპონური ენა VI (FLS307165) (582),7,3
იაპონური ენა VIII (FLS407167) (584),7,3
ჩინური ენა II (FLS107169) (586),7,3
ჩინური ენა IV (FLS207171) (588),7,3
ჩინური ენა VI (FLS307173) (590),7,3
ჩინური ენა VIII (FLS407175) (592),7,3
კორეული ენა II (FLS107177) (594),7,4
კორეული ენა IV (FLS207179) (596),7,4
კორეული ენა VI (FLS307181) (598),7,4
კორეული ენა VIII (FLS407183) (600),7,4
ბიზნესის არაბული ენა II (FLS403185) (602),3,4
ბიზნესის თურქული ენა II (FLS403187) (604),3,4
ბიზნესის სპარსული ენა II (FLS403189) (606),3,4
ბიზნესის იაპონური ენა II (FLS403191) (608),3,4
ბიზნესის ჩინური ენა II (FLS403193) (610),3,4
ბიზნესის კორეული ენა II (FLS403195) (612),3,4
ინგლისური ენა იურისტებისათვის I (FLS203260) (677),3,5
ძველი მსოფლიოს ისტორია (HIST106020) (729),6,5
Libri Magni II (HUM103002) (740),3,5
Libri Magni IV (HUM204010) (742),4,5
Libri Magni VI (HUM303006) (744),3,5
საბაკალავრო ნაშრომი (INTS406950) (792),6,5
სამართლის საფუძვლები (LGLS103001) (793),3,5
სამართლის ისტორია (LGLS104015) (802),4,5
სისხლის სამართალი - ზოგადი ნაწილი II (LGLS204023) (810),4,5
ზოგადი ადმინისტრაციული სამართალი (LGLS305024) (811),5,5
საერთაშორისო საჯარო სამართალი (LGLS204027) (814),4,6
სისხლის სამართალი - კერძო ნაწილი II (LGLS304031) (818),4,6
საოჯახო და მემკვიდრეობის სამართალი (LGLS304033) (820),4,6
საერთაშორისო კერძო სამართალი (LGLS304046) (831),4,6
საბაკალავრო ნაშრომი (LGLS410950) (864),10,6
კალკულუსი (MATH106002) (866),6,6
კალკულუსი (MATH106014) (875),6,6
წრფივი ალგებრა (MATH106016) (876),6,6
კალკულუსი II (MATH206022) (882),6,6
ალბათობა და სტატისტიკა (MATH206024) (884),6,6
დიფერენციალური განტოლებები (MATH206033) (893),6,7
საყოველთაო მათემატიკა (MATH105035) (895),5,7
ბიზნესის მოდელები (MGT404016) (916),4,7
მარკეტინგული თამაში: MARKSTRAT (MKT404008) (968),4,7
ქართული ენა და ქართველები (PHIL102021) (1012),2,7
ყურანი (PHIL403022) (1013),3,7
ოსმალური ენა (PHIL403023) (1014),3,7
კორეული ლეგენდები (PHIL403024) (1015),3,7
ჩინეთის კულტურა (PHIL403025) (1016),3,7
იაპონური ნაწარმოებები (PHIL403026) (1017),3,7
სპარსული კულტურა (PHIL403027) (1018),3,8
ფიზიკა I: კლასიკური მექანიკა (PHYS108003) (1035),8,8
ფიზიკა III: ელექტრობა და მაგნეტიზმი (PHYS208005) (1037),8,8
ველის თეორია (PHYS306008) (1040),6,8
თეორიული ფიზიკის მათემატიკური მეთოდები (PHYS306009) (1041),6,8
კვანტური მექანიკა (PHYS306010) (1042),6,8
ასტროფიზიკა და კოსმოლოგია (PHYS406015) (1047),6,8
მაღალი ენერგიების ფიზიკა (PHYS406016) (1048),6,8
საბაკალავრო ნაშრომი (PHYS407017) (1049),7,8
სახელშეკრულებო სამართალი (LGLS204087) (1097),4,8
შესავალი სამართლის ფილოსოფიაში (LGLS205078) (1102),5,9
ლიტერატურა და ხელოვნება (PHIL105149) (1120),5,9
ფილოსოფია (PH204616) (1123),4,9
ფსიქოლოგია (PSY204272) (1124),4,9
კომპიუტერული არქიტექტურა (CS303031) (1127),3,9
ოპერაციული სისტემების ინჟინერია (CS306035) (1128),6,9
საბაკალავრო პროექტი (CS408949) (1131),8,9
მუშაობა ორგანიზაციაში (CS405903) (1133),5,9
მენეჯერული აღრიცხვა I (ACG206036) (1140),6,9
ფინანსური ანალიზი (FIN306024) (1143),6,9
მუშაობა ორგანიზაციაში (BUS410928) (1147),10,10
კორპორაციული ფინანსები II (FIN406026) (1148),6,10
ფინანსური ანგარიშგება (ACG306030) (1154),6,10
მათემატიკური ანალიზი I (MATH106039) (1186),6,10
სამართლის მეთოდები (LGLS104090) (1191),4,10
სანივთო სამართალი (LGLS104092) (1193),4,10
საკონსტიტუციო სამართალი - სახელმწიფო მოწყობა I (LGLS204093) (1194),4,10
ადმინისტრაციული სამართლის პროცესი (LGLS304089) (1199),4,10
საგადასახადო სამართალი II (LGLS404101) (1202),4,10
ადმინისტრაციული სამართლის კლინიკა (LGLS406917) (1212),6,10
კავკასია და საქართველო (HIST204026) (1221),4,11
კონფლიქტები და საერთაშორისო ურთიერთობები (POLS306018) (1226),6,11
საგარეო პოლიტიკის აკადემიური სიმულაცია (POLS406020) (1228),6,11
შორეული აღმოსავლეთის ისტორია (HIST206028) (1230),6,11
ახლო აღმოსავლეთის ისტორია (HIST206027) (1231),6,11
თვისებრივი კვლევის მეთოდები სოციალურ მეცნიერებებში (SOC204004) (1234),4,11
რაოდენობრივი და სივრცითი აზროვნების წესი (PH204030) (1238),4,11
ბიზნესის მოდელები (MGT405067) (1260),5,11
სტრატეგიული მენეჯმენტი (MGT405080) (1263),5,11
გაყიდვები და გაყიდვების მენეჯმენტი (MKT304035) (1265),4,11
მომხმარებლის ქცევა (MKT404037) (1267),4,12
გერმანული ენა II (FLS106274) (1270),6,12
გერმანული ენა IV (FLS206276) (1272),6,12
გერმანული ენა VI (FLS306278) (1274),6,12
ესპანური ენა II (FLS106280) (1276),6,12
ესპანური ენა IV (FLS206282) (1278),6,12
ესპანური ენა VI (FLS306284) (1280),6,12
ფრანგული ენა IV (FLS206288) (1284),6,12
ფრანგული ენა VI (FLS306290) (1286),6,12
გაძლიერებული ინგლისური ენა II (FLS205292) (1288),5,12
ინგლისურენოვანი სამყარო (POLS303032) (1289),3,13
ევროპის ქვეყნების პოლიტიკური სისტემები (POLS306034) (1292),6,13
ევროატლანტიკური უსაფრთხოება (POLS406037) (1295),6,13
საქმიანი გერმანული ენა (FLS405294) (1299),5,13
საქმიანი ფრანგული ენა (FLS405295) (1300),5,13
საქმიანი ესპანური ენა (FLS405296) (1301),5,13
ბუნებისმეტყველება (SCI104005) (1302),4,13
გადაწყვეტილების მიღების მეთოდები (MGT204060) (1313),4,13
ფრანგული ენა II (FLS106304) (1319),6,13
სოციოლოგია (SOC304008) (1323),4,13
საერთაშორისო სამართალი (LGLS204055) (1342),4,14
კომპიუტერული ქსელები (CS306019) (1352),6,14
გაძლიერებული ალგორითმები I (CS206028) (1354),6,14
ანთროპოლოგია (ANTR104005) (1363),4,14
ლოგიკა (PH104027) (1364),4,14
თანამედროვე პოლიტიკური იდეოლოგიები (POLS304041) (1365),4,14
საველე პრაქტიკა (PRAC103903) (1370),3,14
თანამედროვე პოლიტიკური იდეოლოგიები (POLS204040) (1374),4,14
ბიზნესის სამართლის კლინიკა (LGLS406922) (1375),6,14
საერთაშორისო საინვესტიციო სამართალი (LGLS404131) (1380),4,14
ორგანიზაციული ქცევა (MGT404084) (1386),4,15
წერის ხელოვნება (PHIL203033) (1389),3,15
საჯარო პოლიტიკის პროცესი II (POLS304042) (1391),4,15
მსოფლიოს ვიზუალური ხელოვნების ისტორია (რენესანსამდე) (ART106024) (1400),6,15
მოდერნული ვიზუალური ხელოვნების ისტორია (1789-1945) (ART206030) (1402),6,15
კრიტიკული აზროვნება ვიზუალურ ხელოვნებაში (ART306029) (1404),6,15
ფერწერის სტუდია VI (ART415021) (1415),15,15
საერთაშორისო ტერორიზმი და უსაფრთხოება (INTS306047) (1416),6,15
მობილური აპლიკაციების ინჟინერია (Android) (CS306040) (1419),6,15
მანქანური ხედვა (Machine Vision) (CS406045) (1423),6,15
კალკულუსი II (MATH106047) (1429),6,16
ფიზიკა 1: მექანიკა და თერმოდინამიკა (PHYS105021) (1430),5,16
ფიზიკა 3:ოპტიკა (PHYS205023) (1432),5,16
ელექტრული წრედები I (CE205002) (1436),5,16
ციფრული წრედები (CE305007) (1444),5,16
სიგნალების დამუშავება II (CE305008) (1445),5,16
ჯუნიორ პროექტი (CE305820) (1446),5,16
ნახევარგამტარული მოწყობილობები (CE406011) (1448),6,16
სენიორ პროექტი (CE407830) (1449),7,16
დაბეგვრის საფუძვლები (ACG404037) (1455),4,16
შესავალი ადამიანის უფლებათა სამართალში (LGLS104136) (1457),4,17
სამართალი და ეკონომიკა (LGLS304039) (1494),4,17
ბიზნესის ინგლისური ენა B2 (FLS205324) (1512),5,17
ინგლისური ენა B2-2 (FLS107325) (1513),7,17
გაძლიერებული ალგორითმები II (CS306027) (1519),6,17
NAND to Tetris (CS406029) (1520),6,17
ბიზნეს პროცესის მოდელირება (CIS405017) (1522),5,17
მონაცემთა ბაზების მართვა (CIS405024) (1524),5,17
ინტეგრირებული მარკეტინგული კომუნიკაციები (MKT405052) (1526),5,17
მუშაობა ორგანიზაციაში (INTS405900) (1527),5,17
მუშაობა ორგანიზაციაში (SOC405900) (1528),5,18
მარკეტინგული კომუნიკაციები პრაქტიკაში (MKT403054) (1534),3,18
ბიბლია და ქრისტიანობა (PH104029) (1535),4,18
საკონსტიტუციო სამართლის კლინიკა II (LGLS303927) (1542),3,18
შედარებითი სამეწარმეო სამართალი (LGLS404145) (1543),4,18
საბაკალავრო ნაშრომი (SOC408006) (1547),8,18
მოდელინგი (ART206003) (1550),6,18
ფინანსური ინსტიტუტები და ბაზრები (FIN405033) (1562),5,18
შიდა კონტროლის პროცესი (FIN405035) (1564),5,18
დაბეგვრა (FIN405036) (1565),5,18
დანაშაულის კვალიფიკაციის პრობლემები (LGLS404147) (1575),4,19
Libri Magni VIII (HUM403014) (1658),3,19
ბიზნესი მოქმედებაში III (BUS203932) (1692),3,19
მონაცემთა ანალიზი (MATH203044) (1693),3,19
ქცევითი ეკონომიკა (ECO405023) (1694),5,19
კულტურული და კოგნიტიური ფსიქოლოგია (PSY405006) (1695),5,19
შესავალი ვიდეო ხელოვნებაში (ART204036) (1696),4,19
3 განზომილებიანი ხელოვნება და ინსტალაცია (ART306044) (1704),6,19
ქართული აზრის ისტორია (HUM304016) (1712),4,19
სისხლის სამართლის პროცესი II (LGLS303109) (1718),3,19
ხატვის სტუდია II (ART104046) (1734),4,20
ხატვის სტუდია IV (ART204048) (1736),4,20
დიზაინის პროგრამები I (ART102049) (1737),2,20
ინტერიერის დიზაინის ისტორია (ART306053) (1741),6,20
ინტერიერის დიზაინის სტუდია II (ART308056) (1744),8,20
ინტერიერის დიზაინის სტუდია III (ART308057) (1745),8,20
ბეჭდური მედია II (ART304067) (1747),4,20
ბრენდინგი (ART306059) (1748),6,20
Junior პროექტი (SOC304855) (1765),4,20
სამოქალაქო სამართლის პროცესი II (LGLS303122) (1768),3,20
მენეჯერული აღრიცხვა II (ACG304046) (1779),4,21
სერვისის მენეჯმენტი (MGT404054) (1781),4,21
მიწოდების ჯაჭვის მართვა (MGT405062) (1783),5,21
ხარისხის მართვა (MGT405063) (1784),5,21
საწარმოო პრაქტიკა (CE405904) (1792),5,21
პროგრამირების აბსტრაქცია (CS108056) (1795),8,21
ფერწერის ტექნიკები (ART406061) (1796),6,21
რაოდენობრივი კვლევის მეთოდები (MATH204057) (1797),4,21
პროგრამირების აბსტრაქცია (CS208057) (1802),8,21
რიცხვითი მეთოდები (მათლაბით) (MATH204041) (1803),4,21
არქიტექტურული აზროვნება I (ARCH103002) (1807),3,22
მედია-კლასტერი I (ARCH104003) (1808),4,22
პროფესიული პრაქტიკა I - არქიტექტურული პროექტის მენეჯმენტი (MGT203901) (1818),3,22
შენობის კონსტრუქციები I (CIVE205003) (1823),5,22
შენობის კონსტრუქციები II (CIVE305004) (1824),5,22
შენობის ტექნოლოგიები II (CIVE305005) (1825),5,22
არქიტექტურული პროექტირების სტუდია V (ARCH312014) (1826),12,22
შენობის გარემოს მართვის სისტემები (CIVE305006) (1827),5,22
Philosophy as a Problem Solving Discipline (PHIL305034) (1833),5,22
იდეების ისტორია II (PHIL305036) (1835),5,22
იდეების ისტორია IV (PHIL405038) (1837),5,23
ვებ დიზაინის სტუდია I (ART308064) (1839),8,23
მსოფლიო ისტორია და საქართველო (HIST103032) (1848),3,23
პრობლემების გადაჭრის მეთოდები მათემატიკაში 1 (MATH306059) (1855),6,23
მმართველობის და ძალაუფლების თეორიები (POLS405017) (1857),5,23
ახალი პროდუქტის განვითარება (MKT404038) (1860),4,23
ინფორმაციული უსაფრთხოების მენეჯემენტი (CIS404029) (1861),4,23
ჰიბრიდული ომი (INTS404049) (1878),4,23
შესავალი ელექტრო და კომპუტერულ ინჟინერიაში (CE205009) (1881),5,23
Open Source სისტემები (CS406059) (1882),6,23
შესავალი ციფრულ ტექნოლოგიებში (CS104060) (1884),4,24
მარკეტინგის მენეჯმენტი I (MKT204050) (1887),4,24
სისხლის სამართლის კლინიკა (LGLS404955) (1894),4,24
იურიდიული პრაქტიკა (LGLS405960) (1895),5,24
განათლების სამართალი (LGLS404148) (1898),4,24
დანაშაულის პრევენცია და უსაფრთხო საზოგადოება (LGLS404150) (1899),4,24
ანტენები და უკაბელო სისტემები (CE404012) (1902),4,24
საინჟინრო ქიმია (CIVE104008) (1903),4,24
მედია-კლასტერი III (ARCH204023) (1928),4,24
შენობის ტექნოლოგიები I (ARCH205025) (1930),5,24
ინგლისური ენა B1 (FLS100344) (1957),0,26
არგუმენტაციის ხელოვნება (PH403009) (1966),3,26
საინვესტიციო პორტფელის მართვა (FIN404043) (1968),4,26
კომპანიების შეძენა და შერწყმა (FIN404044) (1969),4,26
პროფესიული პრაქტიკა II - გეგმარებითი და სამშენებლო სფეროს საკანონმდებლო საფუძვლები (ARCH303026) (1931),3,25
არქიტექტურული პროექტირების სტუდია III (ARCH210027) (1932),10,25
არქიტექტურული პროექტირების სტუდია I (ARCH107032) (1937),7,25
ვიზუალური ხელოვნების სტუდია II (ART210070) (1941),10,25
ვიზუალური ხელოვნების სტუდია IV (ART312072) (1943),12,25
სადიპლომო პროექტი (კომუნიკაციის დიზაინი) (ART412950) (1949),12,25
სადიპლომო პროექტი (ინტერიერის დიზაინი) (ART412951) (1950),12,25
ობიექტი და ინსტალაცია (ART306077) (1952),6,25
გრაფიკული დიზაინის სტუდია II (ART208079) (1954),8,25
ინგლისური ენა B1-2 (FLS100343) (1956),0,25
